JVET number,MPEG number,Created,First upload,Last upload,Title,Source,Download Link,Type
JVET-N0393,m47055,2019-03-12 23:07:39,2019-03-13 06:23:06,2019-03-20 06:32:34,CE3-3.3: MPM list harmonization,"L. Zhao, X. Zhao, X. Li, S. Liu (Tencent)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0393-v4.zip,1
JVET-N0394,m47056,2019-03-12 23:08:25,2019-03-13 06:24:59,2019-03-20 06:53:59,CE3-related: Unified MPM list based on CE3-3.3 and CE3-3.5.1,"L. Zhao, X. Zhao, X. Li, S. Liu (Tencent)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0394-v3.zip,1
JVET-N0395,m47057,2019-03-12 23:09:26,2019-03-13 06:28:32,2019-03-26 14:38:21,CE10-related: Simplification and Improvement of combined intra-inter prediction mode,"L. Zhao, X. Li, X. Zhao, S. Liu  (Tencent),",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0395-v5.zip,1
JVET-N0396,m47058,2019-03-12 23:12:29,2019-03-13 05:03:57,2019-03-23 15:09:56,CE3-related: Enabling parallel reconstruction of small intra-coded blocks,"L. Pham Van, G. Van der Auwera, A. K. Ramasubramonian, V. Seregin, H. Huang, M. Karczewicz (Qualcomm),",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0396-v3.zip,1
JVET-N0397,m47059,2019-03-12 23:17:06,2019-03-13 04:22:00,2019-03-13 04:22:00,AHG16: Memory bandwidth reduction for small CUs,"X. Li, G. Li, X. Xu, S. Liu (Tencent)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0397-v1.zip,2
JVET-N0398,m47060,2019-03-12 23:18:49,2019-03-13 04:24:19,2019-03-13 04:24:19,CE2-4.4: Affine block memory bandwidth reduction by MV clip,"X. Li, G. Li, X. Xu, S. Liu (Tencent)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0398-v1.zip,1
JVET-N0399,m47061,2019-03-12 23:18:52,2019-03-13 04:27:56,2019-03-16 18:07:34,CE2-related: Simplifications of interweaved affine mode,"X. Li, G. Li, X. Xu, S. Liu (Tencent)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0399-v2.zip,1
JVET-N0400,m47062,2019-03-12 23:18:55,2019-03-13 04:34:07,2019-03-23 11:39:40,CE4-related: Signaling of maximum number of triangle candidates,"X. Li, G. Li, X. Xu, S. Liu (Tencent)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0400-v4.zip,1
JVET-N0401,m47063,2019-03-12 23:30:13,2019-03-12 23:58:36,2019-03-22 01:29:46,Non-CE3/Non-CE8: Enable Transform Skip in CUs using ISP,"S. De-Luxán-Hernández, T. Nguyen, B. Bross, H. Schwarz, D. Marpe, T. Wiegand (HHI)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0401-v5.zip,1
JVET-N0402,m47064,2019-03-12 23:49:03,2019-03-12 23:58:00,2019-03-15 15:42:13,CE12-related: MCTS improvement by modifying motion compensation filter coefficients,"A. Aminlou, A. Zare, M. M. Hannuksela (Nokia)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0402-v2.zip,1
JVET-N0403,m47065,2019-03-12 23:53:25,2019-03-12 23:58:36,2019-03-15 15:43:09,CE12-related: MCTS improvement by modifying prediction block,"A. Aminlou, A. Zare, M. M. Hannuksela (Nokia)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0403-v2.zip,1
JVET-N0404,m47066,2019-03-12 23:59:00,2019-03-13 00:40:30,2019-03-13 00:40:30,CE8: Palette Mode Improvements (CE8-2.2),"Y.-C. Sun, T.-S. Chang, J. Lou (Alibaba), Y.-H. Chao, V. Seregin, M. Karczewicz (Qualcomm), R. Chernyak, S. Ikonin, J. Chen (Huawei)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0404-v1.zip,1
JVET-N0405,m47067,2019-03-13 00:00:23,2019-03-13 00:11:47,2019-03-21 18:14:34,CE8-related: Palette Mode Simplification,"Y.-C. Sun, T.-S. Chang, J. Lou (Alibaba), Y.-H. Chao, V. Seregin, M. Karczewicz (Qualcomm)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0405-v2.zip,1
JVET-N0406,m47068,2019-03-13 00:04:53,2019-03-13 02:01:00,2019-03-18 02:37:13,CE1: LIC applied after bi-prediction (CE1-5.3),"S. Bandyopadhyay, Y. He (InterDigital)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0406-v2.zip,1
JVET-N0407,m47069,2019-03-13 00:05:14,2019-03-13 00:09:07,2019-04-09 04:02:26,CE9: Removal of 4xN/8x8 CUs and Boundary Padding Process from DMVR (Test 9.1.1),"C.-C. Chen, W.-J. Chien, M. Karczewicz (Qualcomm)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0407-v3.zip,1
JVET-N0408,m47070,2019-03-13 00:16:22,2019-03-13 07:48:34,2019-03-21 10:45:51,Non-CE9: Early Termination Techniques for DMVR,"C.-C. Chen, W.-J. Chien, M. Karczewicz (Qualcomm)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0408-v3.zip,1
JVET-N0409,m47071,2019-03-13 00:17:39,2019-03-13 07:49:25,2019-03-20 14:15:56,CE9-related: Horizontal and Vertical Boundary Padding Process of DMVR,"C.-C. Chen, W.-J. Chien, M. Karczewicz (Qualcomm)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0409-v2.zip,1
JVET-N0410,m47072,2019-03-13 00:25:54,2019-03-13 06:58:54,2019-03-23 15:40:37,CE1-related: Simplification of LIC parameter derivation and its unification with CCLM,"A. Filippov, V. Rufitskiy, J. Chen (Huawei)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0410-v2.zip,1
JVET-N0411,m47073,2019-03-13 00:34:32,2019-03-13 00:53:30,2019-03-13 00:53:30,AHG12: Layout signalling of independent coded regions,E. Thomas(TNO),https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0411-v1.zip,2
JVET-N0412,m47074,2019-03-13 00:40:46,2019-03-13 05:21:23,2019-03-21 08:44:20,CE3-related: Modification on the intra luma mode coding process,"Y. Kidani, K. Kawamura, K. Unno, S. Naito (KDDI)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0412-v2.zip,1
JVET-N0413,m47075,2019-03-13 00:46:54,2019-03-13 04:36:27,2019-05-14 17:08:53,CE8-related: Quantized residual BDPCM,"M. Karczewicz, M. Coban (Qualcomm)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0413-v6.zip,1
JVET-N0414,m47076,2019-03-13 00:49:13,2019-03-13 05:08:46,2019-03-18 18:26:25,Modifications to support the YUV 4:4:4 chroma format,"H. Wang, Y.-H. Chao, W.-J. Chien, V. Seregin, M. Karczewicz (Qualcomm)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0414-v3.zip,0
JVET-N0415,m47077,2019-03-13 00:55:56,2019-03-13 01:03:10,2019-03-19 02:44:49,CE5: Coding tree block based adaptive loop filter (CE5-4),"N. Hu, V. Seregin, H. E. Egilmez, M. Karczewicz (Qualcomm)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0415-v2.zip,1
JVET-N0416,m47078,2019-03-13 00:56:05,2019-03-13 01:04:05,2019-03-22 19:08:20,CE5-related: Unification of picture boundary and line buffer handling for ALF,"N. Hu, V. Seregin, M. Karczewicz (Qualcomm)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0416-v2.zip,1
JVET-N0417,m47079,2019-03-13 00:56:11,2019-03-13 01:04:35,2019-03-21 09:10:58,Simplified luma dependant chroma residual scaling of in-loop reshaper,"N. Hu, V. Seregin, M. Karczewicz (Qualcomm)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0417-v2.zip,0
JVET-N0418,m47080,2019-03-13 00:57:28,2019-03-13 04:57:43,2019-03-19 07:56:32,CE4: Using regular merge candidate list for triangular PU mode (CE4-4.9),"H. Wang, V. Seregin, W.-J. Chien, M. Karczewicz (Qualcomm)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0418-v2.zip,1
JVET-N0419,m47081,2019-03-13 01:06:51,2019-03-13 04:37:27,2019-03-18 22:57:44,Non-CE6: A Simplification of Implicit MTS,"H. E. Egilmez, A. Said, N. Hu, C.-H. Hung, V. Seregin, M. Karczewicz  (Qualcomm)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0419-v2.zip,1
JVET-N0420,m47082,2019-03-13 01:07:05,2019-03-13 04:38:53,2019-03-18 23:03:17,Non-CE6: A Simplification of Implicit Transform Selection in Intra-subblock Partitioning,"H. E. Egilmez, A. K. Ramasubramonian, A. Said, N. Hu, V. Seregin, G.  Van der Auwera, M. Karczewicz (Qualcomm)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0420-v2.zip,1
JVET-N0421,m47083,2019-03-13 01:14:51,2019-03-13 07:37:25,2019-03-13 07:37:25,Non-CE: Unsymmetrical quadtree partitioning,"K. Zhang, L. Zhang, H. Liu, J. Xu, Y. Wang (Bytedance)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0421-v1.zip,1
JVET-N0423,m47085,2019-03-13 01:23:39,2019-03-13 08:12:08,2019-03-21 11:40:48,AHG17: Hypothetical Reference Decoder,S. Deshpande (Sharp),https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0423-v2.zip,2
JVET-N0424,m47086,2019-03-13 01:26:32,2019-03-13 03:40:49,2019-03-23 15:04:43,CE6-related: An Explicit MTS Design with Fast Encoder,"C.-H. Hung, H. E. Egilmez, N. Hu, V. Seregin, M. Karczewicz (Qualcomm)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0424-v7.zip,1
JVET-N0425,m47087,2019-03-13 01:31:10,2019-03-13 01:44:02,2019-03-22 11:36:07,Simplification of CABAC initialization process,"J. Dong, A. Said, V. Seregin, M. Karczewicz (Qualcomm)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0425-v3.zip,0
JVET-N0426,m47088,2019-03-13 01:33:28,2019-03-13 01:37:24,2019-03-21 12:02:39,Non-CE3: History-based intra MPM default angular modes derivation,"Z. Zhang, P. Wennersten, R. Yu, J. Ström, R. Sjöberg (Ericsson)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0426-v4.zip,1
JVET-N0427,m47089,2019-03-13 01:34:51,2019-03-15 01:41:30,2019-03-19 01:24:43,CE3-related: Harmonization between ISP and WAIP,"L. Zhao, X. Zhao, X. Li, S. Liu (Tencent)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0427-v2.zip,1
JVET-N0428,m47090,2019-03-13 01:35:42,2019-03-13 05:12:16,2019-04-09 08:46:52,CE8-4.1 : Rearrangement of the residual block for transform skip,"S.  Yoo, J. Choi, J. Heo, J. Choi, L. Li, J. Lim, S. Kim (LGE)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0428-v2.zip,1
JVET-N0429,m47091,2019-03-13 01:36:31,2019-03-13 05:21:03,2019-04-09 08:49:05,CE8-4.2 : Residual Coding for transform skip with various maximum context coded bins,"S.  Yoo, J. Choi, J. Heo, J. Choi, J. Lim, S. Kim (LGE)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0429-v2.zip,1
JVET-N0430,m47092,2019-03-13 01:37:09,2019-03-13 05:07:11,2019-03-21 19:07:40,CE8-related : Transform skip restriction,"J. Choi, J. Heo, S. Yoo, J. Choi, J. Lim, S. Kim (LGE)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0430-v3.zip,1
JVET-N0432,m47094,2019-03-13 01:45:38,2019-03-13 07:52:46,2019-03-22 09:34:23,AHG16/Non-CE3: On 1xN and 2xN subpartitions in intra subpartition coding,"A. K.  Ramasubramonian, G.  Van der Auwera, T.  Hsieh, V.  Seregin, L.  Pham Van, M.  Karczewicz (Qualcomm)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0432-v2.zip,1
JVET-N0433,m47095,2019-03-13 01:48:29,2019-03-13 10:16:53,2019-03-20 14:48:32,CE3-related: Unification of MPM derivation for luma intra modes,"A. K.  Ramasubramonian, G.  Van der Auwera, L.  Pham Van, M.  Karczewicz (Qualcomm)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0433-v3.zip,1
JVET-N0434,m47096,2019-03-13 02:12:15,2019-03-13 08:31:31,2019-03-21 18:02:51,Non-CE4: Unified context model of AMVR and Affine AMVR,"Y.-C. Yang, P.-H. Lin (Foxconn)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0434-v2.zip,1
JVET-N0435,m47097,2019-03-13 02:12:16,2019-03-13 11:24:08,2019-03-22 17:17:42,Non-CE3: Harmonization between WAIP and intra smoothing filters,"P.-H. Lin, Y.-C. Yang (Foxconn)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0435-v3.zip,1
JVET-N0436,m47098,2019-03-13 02:12:28,2019-03-13 05:45:37,2019-03-13 05:45:37,"CE3-3.4.1, CE3-3.4.2, CE3-3.4.3: Results for unified MPM list construction process","F. Bossen, K. Misra (Sharp Labs of America)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0436-v1.zip,1
JVET-N0437,m47099,2019-03-13 02:15:02,2019-03-13 05:31:05,2019-03-30 00:04:22,Non-CE3: On allowing non-MPM modes for ISP and non-zero reference line,"F. Bossen, K. Misra (Sharp Labs of America)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0437-v3.zip,1
JVET-N0438,m47100,2019-03-13 02:19:07,2019-03-13 04:49:46,2019-03-23 16:03:53,AHG12: Loop filter disabled across virtual boundaries,"S.-Y. Lin, L. Liu, J.-L. Lin, Y.-C. Chang, C.-C. Ju (MediaTek), P. Hanhart, Y. He (InterDigital)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0438-v4.zip,2
JVET-N0439,m47101,2019-03-13 02:30:42,2019-03-13 06:48:43,2019-03-19 14:43:22,CE4-related: supplementary information regarding CE4-4.4,"L. Zhang, K. Zhang, H. Liu, J. Xu, Y. Wang (Bytedance),",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0439-v2.zip,1
JVET-N0440,m47102,2019-03-13 02:34:51,2019-03-13 07:33:28,2019-03-19 15:03:40,CE9-related: Disabling DMVR and BDOF when underlying assumptions are false,"H. Liu, L. Zhang, K. Zhang, J. Xu, W. Zhu, Y. Wang (Bytedance)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0440-v2.zip,1
JVET-N0441,m47103,2019-03-13 02:45:40,2019-03-13 03:49:56,2019-03-13 07:45:15,CE4-3.3 : Candidates optimization on MMVD,"N. Park, H. Jang, J. Nam, J. Lim, S. Kim (LGE)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0441-v2.zip,1
JVET-N0442,m47104,2019-03-13 02:46:46,2019-03-13 03:50:30,2019-03-13 03:50:30,Non-CE9 : Conditions fix for DMVR and BDOF,"N. Park, H. Jang, J. Nam, J. Lim, S. Kim (LGE)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0442-v1.zip,1
JVET-N0443,m47105,2019-03-13 02:47:55,2019-03-13 03:51:15,2019-03-15 01:29:30,Non-CE9 : BDOF processing considering assumption fo the optical flow,"N. Park, H. Jang, J. Nam, J. Lim, S. Kim (LGE)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0443-v2.zip,1
JVET-N0444,m47106,2019-03-13 02:48:45,2019-03-13 03:51:38,2019-03-23 07:16:02,Non-CE9 : Mismatch beween test specification and reference software on BDOF and DMVR,"N. Park, H. Jang, J. Nam, J. Lim, S. Kim (LGE)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0444-v3.zip,1
JVET-N0445,m47107,2019-03-13 02:50:16,2019-03-13 03:19:04,2019-03-22 18:26:03,Non-CE6: MTS kernel derivation for efficient memory usage,"S. Shrestha, A. Kumar, B. Lee (Chosun Univ.), Y. Lee, J. Park (Humax)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0445-v3.zip,1
JVET-N0446,m47108,2019-03-13 02:54:36,2019-03-13 08:11:36,2019-03-15 05:47:21,New Adaptive Streaming Test Conditions for the VVC development,"M. Afonso, A. Norkin, J. Sole, K. Swanson, A. Aaron (Netflix), J. Kim, K. Kolarov, D. Singer, A. Tourapis (Apple), Y. Ye, W. Jiang (Alibaba), ,",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0446-v2.zip,0
JVET-N0447,m47109,2019-03-13 02:58:55,2019-03-13 10:18:18,2019-03-21 05:15:44,Non-CE4: On triangle merge mode,"Y.-J. Chang, C.-C. Chen, W.-J. Chien, M. Karczewicz (Qualcomm)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0447-v3.zip,1
JVET-N0448,m47110,2019-03-13 03:00:45,2019-03-13 10:27:47,2019-03-21 15:24:17,Non-CE4: On MMVD signaling,"Y.-J. Chang, W.-J. Chien, C.-C. Chen, M. Karczewicz (Qualcomm)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0448-v4.zip,1
JVET-N0449,m47111,2019-03-13 03:11:08,2019-03-13 08:10:11,2019-03-20 16:44:20,CE4-related: Simplification on MMVD distance table,"Y. Zhang, Y.-J.  Chang, C.-C.  Chen, W.-J.  Chien, M. Karczewicz (Qualcomm)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0449-v3.zip,1
JVET-N0450,m47112,2019-03-13 03:11:52,2019-03-13 04:50:33,2019-03-20 10:17:55,CE3-3.4-related: unified MPM list construction,"F. Bossen, K. Misra (Sharp)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0450-v2.zip,1
JVET-N0451,m47113,2019-03-13 03:18:07,2019-03-13 06:26:41,2019-03-17 03:36:38,CE3-3.1.2 : Harmonization on MPM list,"J. Heo, L. Li, J. Choi, J. Choi, S. Yoo, J. Lim, S. Kim (LGE)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0451-v3.zip,1
JVET-N0452,m47114,2019-03-13 03:19:12,2019-03-13 05:34:06,2019-03-18 00:48:55,Non-CE3 : Harmonization between WAIP and ISP,"J. Heo, H. Jang, L. Li, J. Choi, J. Lim, S. Kim (LGE)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0452-v2.zip,1
JVET-N0453,m47115,2019-03-13 03:20:58,2019-03-13 06:29:09,2019-03-23 12:48:58,AHG16/Non-CE3: on chroma 2xN and Nx2 intra prediction in single tree,"Y. Zhao, A. Karabutov, H. Yang, J. Chen (Huawei)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0453-v5.zip,1
JVET-N0454,m47116,2019-03-13 03:53:34,2019-03-13 04:11:08,2019-03-13 04:11:08,CE4-4.6: Simplification for merge list derivation in triangular prediction mode,"T. Solovyev, S. Esenlik, S. Ikonin, J. Chen (Huawei)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0454-v1.zip,1
JVET-N0455,m47117,2019-03-13 03:56:23,2019-03-13 04:37:06,2019-03-21 19:02:37,CE8-related: Sign context modelling and level mapping for TS residual coding,"M. Karczewicz, M. Coban (Qualcomm)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0455-v3.zip,1
JVET-N0456,m47118,2019-03-13 04:18:59,2019-03-13 04:47:50,2019-03-20 21:41:42,CE2-related: Affine motion model derivation method for affine merge mode,"W. Chen, J. Luo, Y. He (InterDigital)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0456-v3.zip,1
JVET-N0457,m47119,2019-03-13 05:19:21,2019-03-13 07:06:57,2019-03-13 07:06:57,CE8-1.1: Block vector prediction for IBC,"J. Nam, J. Lim, S. Kim (LGE)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0457-v1.zip,1
JVET-N0458,m47120,2019-03-13 05:19:45,2019-03-13 07:12:53,2019-03-19 11:24:42,CE8-1.2: Block vector coding for IBC,"J. Nam, J. Lim, S. Kim (LGE)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0458-v2.zip,1
JVET-N0459,m47121,2019-03-13 05:20:06,2019-03-13 07:18:47,2019-03-21 11:28:41,CE8-related: Modified block vector coding for IBC,"J. Nam, H. Jang, J. Choi, J. Heo, J. Lim, S. Kim (LGE)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0459-v2.zip,1
JVET-N0460,m47122,2019-03-13 05:20:21,2019-03-13 07:26:03,2019-03-21 11:29:22,CE8-related: Default candidates for IBC merge mode,"J. Nam, H. Jang, J. Lim, S. Kim (LGE)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0460-v2.zip,1
JVET-N0461,m47123,2019-03-13 05:20:36,2019-03-13 07:39:26,2019-03-21 11:31:01,CE8-related: Signaling on maximum number of candidates for IBC merge mode,"J. Nam, H. Jang, J. Lim, S. Kim (LGE)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0461-v2.zip,1
JVET-N0462,m47124,2019-03-13 05:20:56,2019-03-13 07:30:16,2019-03-21 11:31:45,Non-CE4: Mismatch between text specification and reference software on inter prediction mode,"J. Nam, H. Jang, N. Park, J. Lim, S. Kim (LGE)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0462-v2.zip,1
JVET-N0463,m47125,2019-03-13 05:24:02,2019-03-13 07:11:47,2019-03-13 07:11:47,CE11-2.2 Disable deblocking filter for 4xN for vertical edge and Nx4 for Horizontal edge on 4x4 grid.,"H. Jang, J. Nam, J. Lim, S. Kim(LGE)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0463-v1.zip,1
JVET-N0464,m47126,2019-03-13 05:24:14,2019-03-13 07:12:18,2019-03-21 15:31:07,Non-CE8 : MMVD Motion vector rounding for SCC,"H. Jang, J. Nam, N. Park, J. Lim, S. Kim (LGE)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0464-v2.zip,1
JVET-N0465,m47127,2019-03-13 05:24:25,2019-03-13 07:12:44,2019-03-21 11:31:38,"CE3-related : Restrict 2xN, Nx2 chroma processing for dual tree structure","H. Jang, J. Nam, N. Park, J. Lim, S. Kim (LGE)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0465-v2.zip,1
JVET-N0466,m47128,2019-03-13 05:24:37,2019-03-13 07:41:53,2019-03-13 07:41:53,Non-CE8 : The corner case handling regarding mv derivation for Chroma IBC in dual tree structure.,"H. Jang, J. Nam, N. Park, J. Lim, S. Kim (LGE)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0466-v1.zip,1
JVET-N0467,m47129,2019-03-13 05:24:46,2019-03-13 07:13:11,2019-03-23 12:26:24,Non-CE8 : Experimental result for various size of IBC block with optimized syntax signaling.,"H. Jang, J. Nam, N. Park, J. Lim, S. Kim (LGE)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0467-v3.zip,1
JVET-N0468,m47130,2019-03-13 05:24:56,2019-03-13 07:13:34,2019-03-23 17:20:46,AhG2 : Editorial Suggestion on the text specification for Inter and IBC mode,"H. Jang, J. Nam, N. Park, J. Lim, S. Kim (LGE)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0468-v2.zip,2
JVET-N0469,m47131,2019-03-13 05:25:05,2019-03-13 07:14:03,2019-03-21 10:21:02,"CE3-related : Disable ISP mode for 128xN, Nx128 Block.","H. Jang, J. Heo, J. Nam, J. Lim, S. Kim (LGE)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0469-v2.zip,1
JVET-N0470,m47132,2019-03-13 05:25:14,2019-03-13 07:14:25,2019-03-23 18:01:11,AhG2: Mismatch between text specification and reference software on SMVD.,"H. Jang, J. Nam, N. Park, J. Lim, S. Kim (LGE)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0470-v3.zip,2
JVET-N0471,m47133,2019-03-13 05:27:38,2019-03-13 11:43:37,2019-03-21 14:38:41,non-CE4: Simplification of decoding process for SMVD reference indices,"H. Lee, J. Kang, S.-C. Lim, J. Lee, H. Y. Kim (ETRI)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0471-v3.zip,1
JVET-N0472,m47134,2019-03-13 05:31:12,2019-03-13 07:58:06,2019-03-22 13:38:04,Non-CE8: On IBC reference buffer design,"J. Xu, L. Zhang, K. Zhang, H. Liu, Y. Wang (Bytedance)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0472-v2.zip,1
JVET-N0473,m47135,2019-03-13 05:39:51,2019-03-13 05:44:08,2019-03-26 18:19:53,Non-CE11: On ISP transform boundary deblocking,"K. Misra, A. Segall (Sharp Labs of America), M. Ikeda, T. Suzuki (Sony), K. Andersson, J. Enhorn (Ericsson)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0473-v4.zip,1
JVET-N0474,m47136,2019-03-13 06:04:31,2019-03-13 06:07:28,2019-03-14 22:57:27,Comments on algorithm description document for VTM,"S. Park, J.-W. Kang (Ewha W. Univ.)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0474-v2.zip,0
JVET-N0475,m47137,2019-03-13 06:35:23,2019-03-13 08:12:08,2019-03-21 14:41:53,Non-CE3/6: Enabling Transform Skip for ISP,"T.-C. Ma, X. Xiu, Y.-W. Chen, X. Wang (Kwai Inc.)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0475-v2.zip,1
JVET-N0476,m47138,2019-03-13 06:35:40,2019-03-13 07:56:43,2019-03-21 14:48:47,Non-CE4: Constraints of picture size in VVC,"Y.-W. Chen, X. Xiu, T.-C. Ma, X. Wang (Kwai Inc.)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0476-v2.zip,1
JVET-N0477,m47139,2019-03-13 06:54:13,2019-03-13 08:06:48,2019-03-21 09:22:05,On luma mapping with chroma scaling,"Y. Ye, J. Chen, R. Liao (Alibaba)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0477-v3.zip,0
JVET-N0478,m47140,2019-03-13 07:13:40,2019-03-13 08:23:41,2019-03-19 17:03:53,CE1: Hadamard transform domain filter (CE1-2),"S. Ikonin, V. Stepin, A. Karabutov, J. Chen (Huawei)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0478-v3.zip,1
JVET-N0479,m47141,2019-03-13 07:14:27,2019-03-13 08:25:04,2019-03-21 12:13:30,CE1-related: Hadamard transform domain in-loop filter also using bottom/right reconstructed samples,"S. Ikonin, V. Stepin, A. Karabutov, J. Chen (Huawei)",https://jvet-experts.org/doc_end_user/documents/14_Geneva/wg11/JVET-N0479-v4.zip,1
